Municipio,obitos_p/Residência
280580 RIACHAO DO DANTAS,117
280590 RIACHUELO,58
280600 RIBEIROPOLIS,126
280610 ROSARIO DO CATETE,54
280620 SALGADO,109
280630 SANTA LUZIA DO ITANHY,81
280640 SANTANA DO SAO FRANCISCO,46
280650 SANTA ROSA DE LIMA,19
280660 SANTO AMARO DAS BROTAS,76
280670 SAO CRISTOVAO,474
280680 SAO DOMINGOS,66
280690 SAO FRANCISCO,33
280700 SAO MIGUEL DO ALEIXO,26
280710 SIMAO DIAS,310
280720 SIRIRI,51
280730 TELHA,15
280740 TOBIAS BARRETO,367
280750 TOMAR DO GERU,84
280760 UMBAUBA,158
290010 ABAIRA,50
290020 ABARE,99
290030 ACAJUTIBA,122
290035 ADUSTINA,82
290040 AGUA FRIA,80
290050 ERICO CARDOSO,60
290060 AIQUARA,26
290070 ALAGOINHAS,999
290080 ALCOBACA,110
290090 ALMADINA,56
290100 AMARGOSA,259
290110 AMELIA RODRIGUES,170
290115 AMERICA DOURADA,84
290120 ANAGE,146
290130 ANDARAI,73
290135 ANDORINHA,92
290140 ANGICAL,91
290150 ANGUERA,59
290160 ANTAS,74
290170 ANTONIO CARDOSO,71
290180 ANTONIO GONCALVES,55
290190 APORA,108
290195 APUAREMA,47
290200 ARACATU,86
290205 ARACAS,65
290210 ARACI,279
290220 ARAMARI,48
290225 ARATACA,60
290230 ARATUIPE,56
290240 AURELINO LEAL,74
290250 BAIANOPOLIS,46
290260 BAIXA GRANDE,132
290265 BANZAE,60
290270 BARRA,259
290280 BARRA DA ESTIVA,129
290290 BARRA DO CHOCA,187
290300 BARRA DO MENDES,95
290310 BARRA DO ROCHA,44
290320 BARREIRAS,754
290323 BARRO ALTO,80
290327 BARROCAS,78
290330 BARRO PRETO,63
290340 BELMONTE,162
290350 BELO CAMPO,129
290360 BIRITINGA,109
290370 BOA NOVA,115
290380 BOA VISTA DO TUPIM,96
290390 BOM JESUS DA LAPA,364
290395 BOM JESUS DA SERRA,46
290400 BONINAL,87
290405 BONITO,61
290410 BOQUIRA,124
290420 BOTUPORA,63
290430 BREJOES,85
290440 BREJOLANDIA,43
290450 BROTAS DE MACAUBAS,89
290460 BRUMADO,408
290470 BUERAREMA,163
290475 BURITIRAMA,85
290480 CAATIBA,44
290485 CABACEIRAS DO PARAGUACU,108
290490 CACHOEIRA,245
290500 CACULE,123
290510 CAEM,58
290515 CAETANOS,50
290520 CAETITE,283
290530 CAFARNAUM,107
290540 CAIRU,58
290550 CALDEIRAO GRANDE,69
290560 CAMACAN,183
290570 CAMACARI,1318
290580 CAMAMU,167
290590 CAMPO ALEGRE DE LOURDES,123
290600 CAMPO FORMOSO,394
290610 CANAPOLIS,18
290620 CANARANA,162
290630 CANAVIEIRAS,205
290640 CANDEAL,54
290650 CANDEIAS,495
290660 CANDIBA,60
290670 CANDIDO SALES,175
290680 CANSANCAO,209
290682 CANUDOS,81
290685 CAPELA DO ALTO ALEGRE,60
290687 CAPIM GROSSO,172
290689 CARAIBAS,49
290690 CARAVELAS,111
290700 CARDEAL DA SILVA,43
290710 CARINHANHA,152
290720 CASA NOVA,376
290730 CASTRO ALVES,190
290740 CATOLANDIA,17
290750 CATU,333
290755 CATURAMA,37
290760 CENTRAL,93
290770 CHORROCHO,67
290780 CICERO DANTAS,203
290790 CIPO,93
290800 COARACI,203
290810 COCOS,59
290820 CONCEICAO DA FEIRA,121
290830 CONCEICAO DO ALMEIDA,107
290840 CONCEICAO DO COITE,364
290850 CONCEICAO DO JACUIPE,217
290860 CONDE,116
290870 CONDEUBA,132
290880 CONTENDAS DO SINCORA,22
290890 CORACAO DE MARIA,132
290900 CORDEIROS,52
290910 CORIBE,68
290920 CORONEL JOAO SA,87
290930 CORRENTINA,104
290940 COTEGIPE,84
290950 CRAVOLANDIA,28
290960 CRISOPOLIS,112
290970 CRISTOPOLIS,69
290980 CRUZ DAS ALMAS,384
290990 CURACA,156
291000 DARIO MEIRA,67
291005 DIAS D'AVILA,363
291010 DOM BASILIO,72
291020 DOM MACEDO COSTA,31
291030 ELISIO MEDRADO,68
291040 ENCRUZILHADA,133
291050 ENTRE RIOS,231
291060 ESPLANADA,194
291070 EUCLIDES DA CUNHA,349
291072 EUNAPOLIS,655
291075 FATIMA,100
291077 FEIRA DA MATA,19
291080 FEIRA DE SANTANA,3783
291085 FILADELFIA,86
291090 FIRMINO ALVES,35
291100 FLORESTA AZUL,79
291110 FORMOSA DO RIO PRETO,83
291120 GANDU,183
291125 GAVIAO,20
291130 GENTIO DO OURO,61
291140 GLORIA,89
291150 GONGOGI,44
291160 GOVERNADOR MANGABEIRA,146
291165 GUAJERU,43
291170 GUANAMBI,465
291180 GUARATINGA,80
291185 HELIOPOLIS,85
291190 IACU,195
291200 IBIASSUCE,71
291210 IBICARAI,246
291220 IBICOARA,68
291230 IBICUI,108
291240 IBIPEBA,106
291250 IBIPITANGA,89
291260 IBIQUERA,18
291270 IBIRAPITANGA,142
291280 IBIRAPUA,66
291290 IBIRATAIA,151
291300 IBITIARA,101
291310 IBITITA,104
291320 IBOTIRAMA,180
291330 ICHU,40
291340 IGAPORA,75
291345 IGRAPIUNA,44
291350 IGUAI,155
291360 ILHEUS,1336
291370 INHAMBUPE,230
291380 IPECAETA,82
291390 IPIAU,372
291400 IPIRA,461
291410 IPUPIARA,80
291420 IRAJUBA,45
291430 IRAMAIA,48
291440 IRAQUARA,149
291450 IRARA,206
291460 IRECE,353
291465 ITABELA,192
291470 ITABERABA,423
291480 ITABUNA,1578
291490 ITACARE,99
291500 ITAETE,63
291510 ITAGI,102
291520 ITAGIBA,82
291530 ITAGIMIRIM,56
291535 ITAGUACU DA BAHIA,63
291540 ITAJU DO COLONIA,37
291550 ITAJUIPE,196
291560 ITAMARAJU,421
291570 ITAMARI,54
291580 ITAMBE,158
291590 ITANAGRA,33
291600 ITANHEM,132
291610 ITAPARICA,132
291620 ITAPE,86
291630 ITAPEBI,69
291640 ITAPETINGA,474
291650 ITAPICURU,161
291660 ITAPITANGA,69
291670 ITAQUARA,67
291680 ITARANTIM,103
291685 ITATIM,108
291690 ITIRUCU,110
291700 ITIUBA,240
291710 ITORORO,127
291720 ITUACU,110
291730 ITUBERA,148
291733 IUIU,48
291735 JABORANDI,49
291740 JACARACI,100
291750 JACOBINA,537
291760 JAGUAQUARA,311
291770 JAGUARARI,217
291780 JAGUARIPE,85
291790 JANDAIRA,60
291800 JEQUIE,1130
291810 JEREMOABO,213
291820 JIQUIRICA,88
291830 JITAUNA,107
291835 JOAO DOURADO,126
291840 JUAZEIRO,1270
291845 JUCURUCU,42
291850 JUSSARA,103
291855 JUSSARI,50
291860 JUSSIAPE,76
291870 LAFAIETE COUTINHO,24
291875 LAGOA REAL,66
291880 LAJE,137
291890 LAJEDAO,32
291900 LAJEDINHO,20
291905 LAJEDO DO TABOCAL,52
291910 LAMARAO,47
291915 LAPAO,169
291920 LAURO DE FREITAS,1175
291930 LENCOIS,53
291940 LICINIO DE ALMEIDA,75
291950 LIVRAMENTO DE NOSSA SENHORA,215
291955 LUIS EDUARDO MAGALHAES,264
291960 MACAJUBA,68
291970 MACARANI,96
291980 MACAUBAS,243
291990 MACURURE,43
291992 MADRE DE DEUS,109
291995 MAETINGA,43
292000 MAIQUINIQUE,46
292010 MAIRI,146
292020 MALHADA,77
292030 MALHADA DE PEDRAS,38
292040 MANOEL VITORINO,92
292045 MANSIDAO,30
292050 MARACAS,155
292060 MARAGOGIPE,261
292070 MARAU,45
292080 MARCIONILIO SOUZA,53
292090 MASCOTE,77
292100 MATA DE SAO JOAO,242
292105 MATINA,61
292110 MEDEIROS NETO,161
292120 MIGUEL CALMON,189
292130 MILAGRES,87
292140 MIRANGABA,85
292145 MIRANTE,42
292150 MONTE SANTO,315
292160 MORPARA,44
292170 MORRO DO CHAPEU,211
292180 MORTUGABA,93
292190 MUCUGE,54
292200 MUCURI,195
292205 MULUNGU DO MORRO,49
292210 MUNDO NOVO,134
292220 MUNIZ FERREIRA,46
292225 MUQUEM DE SAO FRANCISCO,42
292230 MURITIBA,190
292240 MUTUIPE,133
292250 NAZARE,199
292260 NILO PECANHA,61
292265 NORDESTINA,59
292270 NOVA CANAA,96
292273 NOVA FATIMA,54
292275 NOVA IBIA,41
292280 NOVA ITARANA,40
292285 NOVA REDENCAO,44
292290 NOVA SOURE,181
292300 NOVA VICOSA,222
292303 NOVO HORIZONTE,61
292305 NOVO TRIUNFO,49
292310 OLINDINA,176
292320 OLIVEIRA DOS BREJINHOS,142
292330 OURICANGAS,69
292335 OUROLANDIA,70
292340 PALMAS DE MONTE ALTO,126
292350 PALMEIRAS,57
292360 PARAMIRIM,122
292370 PARATINGA,144
292380 PARIPIRANGA,162
292390 PAU BRASIL,60
292400 PAULO AFONSO,716
292405 PE DE SERRA,83
292410 PEDRAO,48
292420 PEDRO ALEXANDRE,45
292430 PIATA,145
292440 PILAO ARCADO,141
292450 PINDAI,90
292460 PINDOBACU,111
292465 PINTADAS,66
292467 PIRAI DO NORTE,40
292470 PIRIPA,63
292480 PIRITIBA,131
292490 PLANALTINO,49
292500 PLANALTO,169
292510 POCOES,327
292520 POJUCA,213
292525 PONTO NOVO,112
292530 PORTO SEGURO,671
292540 POTIRAGUA,44
292550 PRADO,147
292560 PRESIDENTE DUTRA,87
292570 PRESIDENTE JANIO QUADROS,82
292575 PRESIDENTE TANCREDO NEVES,147
292580 QUEIMADAS,128
292590 QUIJINGUE,157
292593 QUIXABEIRA,38
292595 RAFAEL JAMBEIRO,153
292600 REMANSO,207
292610 RETIROLANDIA,66
292620 RIACHAO DAS NEVES,154
292630 RIACHAO DO JACUIPE,242
292640 RIACHO DE SANTANA,175
292650 RIBEIRA DO AMPARO,76
292660 RIBEIRA DO POMBAL,319
292665 RIBEIRAO DO LARGO,36
292670 RIO DE CONTAS,112
292680 RIO DO ANTONIO,73
292690 RIO DO PIRES,64
292700 RIO REAL,261
292710 RODELAS,53
292720 RUY BARBOSA,263
292730 SALINAS DA MARGARIDA,98
292740 SALVADOR,16467
292750 SANTA BARBARA,162
292760 SANTA BRIGIDA,87
292770 SANTA CRUZ CABRALIA,156
292780 SANTA CRUZ DA VITORIA,39
292790 SANTA INES,91
292800 SANTALUZ,227
292805 SANTA LUZIA,90
292810 SANTA MARIA DA VITORIA,220
292820 SANTANA,88
292830 SANTANOPOLIS,57
292840 SANTA RITA DE CASSIA,151
292850 SANTA TERESINHA,74
292860 SANTO AMARO,393
292870 SANTO ANTONIO DE JESUS,580
292880 SANTO ESTEVAO,353
292890 SAO DESIDERIO,99
292895 SAO DOMINGOS,59
292900 SAO FELIX,88
292905 SAO FELIX DO CORIBE,74
292910 SAO FELIPE,130
292920 SAO FRANCISCO DO CONDE,207
292925 SAO GABRIEL,95
292930 SAO GONCALO DOS CAMPOS,201
292935 SAO JOSE DA VITORIA,52
292937 SAO JOSE DO JACUIPE,55
292940 SAO MIGUEL DAS MATAS,68
292950 SAO SEBASTIAO DO PASSE,272
292960 SAPEACU,109
292970 SATIRO DIAS,101
292975 SAUBARA,81
292980 SAUDE,86
292990 SEABRA,235
293000 SEBASTIAO LARANJEIRAS,57
293010 SENHOR DO BONFIM,581
293015 SERRA DO RAMALHO,166
293020 SENTO SE,144
293030 SERRA DOURADA,74
293040 SERRA PRETA,136
293050 SERRINHA,496
293060 SERROLANDIA,83
293070 SIMOES FILHO,751
293075 SITIO DO MATO,50
293076 SITIO DO QUINTO,59
293077 SOBRADINHO,128
293080 SOUTO SOARES,89
293090 TABOCAS DO BREJO VELHO,59
293100 TANHACU,102
293105 TANQUE NOVO,102
293110 TANQUINHO,64
293120 TAPEROA,78
293130 TAPIRAMUTA,76
293135 TEIXEIRA DE FREITAS,878
293140 TEODORO SAMPAIO,72
293150 TEOFILANDIA,116
293160 TEOLANDIA,65
293170 TERRA NOVA,94
293180 TREMEDAL,150
293190 TUCANO,326
293200 UAUA,111
293210 UBAIRA,115
293220 UBAITABA,154
293230 UBATA,154
293240 UIBAI,88
293245 UMBURANAS,43
293250 UNA,154
293260 URANDI,89
293270 URUCUCA,153
293280 UTINGA,113
293290 VALENCA,543
293300 VALENTE,139
293305 VARZEA DA ROCA,96
293310 VARZEA DO POCO,59
293315 VARZEA NOVA,64
293317 VARZEDO,62
293320 VERA CRUZ,293
293325 VEREDA,45
293330 VITORIA DA CONQUISTA,2061
293340 WAGNER,45
293345 WANDERLEY,47
293350 WENCESLAU GUIMARAES,90
293360 XIQUE-XIQUE,260
310010 ABADIA DOS DOURADOS,46
310020 ABAETE,175
310030 ABRE CAMPO,84
310040 ACAIACA,21
310050 ACUCENA,58
310060 AGUA BOA,81
310070 AGUA COMPRIDA,12
310080 AGUANIL,26
310090 AGUAS FORMOSAS,146
310100 AGUAS VERMELHAS,72
310110 AIMORES,198
310120 AIURUOCA,57
310130 ALAGOA,27
310140 ALBERTINA,13
310150 ALEM PARAIBA,314
310160 ALFENAS,545
310163 ALFREDO VASCONCELOS,40
310170 ALMENARA,290
310180 ALPERCATA,50
310190 ALPINOPOLIS,126
310200 ALTEROSA,110
310205 ALTO CAPARAO,38
310210 ALTO RIO DOCE,117
310220 ALVARENGA,29
310230 ALVINOPOLIS,99
310240 ALVORADA DE MINAS,20
310250 AMPARO DO SERRA,48
310260 ANDRADAS,299
310270 CACHOEIRA DE PAJEU,61
310280 ANDRELANDIA,100
310285 ANGELANDIA,39
310290 ANTONIO CARLOS,80
310300 ANTONIO DIAS,73
310310 ANTONIO PRADO DE MINAS,11
310320 ARACAI,19
310330 ARACITABA,10
310340 ARACUAI,283
310350 ARAGUARI,852
310360 ARANTINA,19
310370 ARAPONGA,42
310375 ARAPORA,40
310380 ARAPUA,15
310390 ARAUJOS,52
310400 ARAXA,690
310410 ARCEBURGO,72
310420 ARCOS,278
310430 AREADO,118
310440 ARGIRITA,24
310445 ARICANDUVA,27
310450 ARINOS,86
310460 ASTOLFO DUTRA,94
310470 ATALEIA,92
310480 AUGUSTO DE LIMA,34
310490 BAEPENDI,139
310500 BALDIM,68
310510 BAMBUI,186
310520 BANDEIRA,36
310530 BANDEIRA DO SUL,43
310540 BARAO DE COCAIS,166
310550 BARAO DE MONTE ALTO,45
310560 BARBACENA,916
310570 BARRA LONGA,42
310590 BARROSO,150
310600 BELA VISTA DE MINAS,62
310610 BELMIRO BRAGA,22
310620 BELO HORIZONTE,15143
310630 BELO ORIENTE,142
310640 BELO VALE,57
310650 BERILO,67
310660 BERTOPOLIS,38
310665 BERIZAL,26
310670 BETIM,2197
310680 BIAS FORTES,24
310690 BICAS,128
310700 BIQUINHAS,19
310710 BOA ESPERANCA,294
310720 BOCAINA DE MINAS,29
310730 BOCAIUVA,333
310740 BOM DESPACHO,310
310750 BOM JARDIM DE MINAS,51
310760 BOM JESUS DA PENHA,19
310770 BOM JESUS DO AMPARO,45
310780 BOM JESUS DO GALHO,96
310790 BOM REPOUSO,80
310800 BOM SUCESSO,159
310810 BONFIM,52
310820 BONFINOPOLIS DE MINAS,44
310825 BONITO DE MINAS,51
310830 BORDA DA MATA,131
310840 BOTELHOS,123
310850 BOTUMIRIM,30
310855 BRASILANDIA DE MINAS,52
310860 BRASILIA DE MINAS,201
310870 BRAS PIRES,39
310880 BRAUNAS,31
310890 BRAZOPOLIS,106
310900 BRUMADINHO,212
310910 BUENO BRANDAO,72
310920 BUENOPOLIS,72
310925 BUGRE,20
310930 BURITIS,139
310940 BURITIZEIRO,96
310945 CABECEIRA GRANDE,32
310950 CABO VERDE,87
310960 CACHOEIRA DA PRATA,41
310970 CACHOEIRA DE MINAS,72
310980 CACHOEIRA DOURADA,21
310990 CAETANOPOLIS,59
311000 CAETE,289
311010 CAIANA,35
311020 CAJURI,26
311030 CALDAS,125
311040 CAMACHO,28
311050 CAMANDUCAIA,133
311060 CAMBUI,234
311070 CAMBUQUIRA,101
311080 CAMPANARIO,29
311090 CAMPANHA,108
311100 CAMPESTRE,153
311110 CAMPINA VERDE,122
311115 CAMPO AZUL,19
311120 CAMPO BELO,453
311130 CAMPO DO MEIO,107
311140 CAMPO FLORIDO,38
311150 CAMPOS ALTOS,88
311160 CAMPOS GERAIS,177
311170 CANAA,27
311180 CANAPOLIS,57
311190 CANA VERDE,41
311200 CANDEIAS,113
311205 CANTAGALO,36
311210 CAPARAO,22
311220 CAPELA NOVA,41
311230 CAPELINHA,196
311240 CAPETINGA,49
311250 CAPIM BRANCO,61
311260 CAPINOPOLIS,98
311265 CAPITAO ANDRADE,41
311270 CAPITAO ENEAS,82
311280 CAPITOLIO,55
311290 CAPUTIRA,72
311300 CARAI,170
311310 CARANAIBA,15
311320 CARANDAI,185
311330 CARANGOLA,317
311340 CARATINGA,597
311350 CARBONITA,70
311360 CAREACU,56
311370 CARLOS CHAGAS,166
311380 CARMESIA,15
311390 CARMO DA CACHOEIRA,89
311400 CARMO DA MATA,84
311410 CARMO DE MINAS,84
311420 CARMO DO CAJURU,113
311430 CARMO DO PARANAIBA,203
311440 CARMO DO RIO CLARO,145
311450 CARMOPOLIS DE MINAS,109
311455 CARNEIRINHO,57
311460 CARRANCAS,40
311470 CARVALHOPOLIS,23
311480 CARVALHOS,30
311490 CASA GRANDE,24
311500 CASCALHO RICO,20
311510 CASSIA,152
311520 CONCEICAO DA BARRA DE MINAS,28
311530 CATAGUASES,556
311535 CATAS ALTAS,34
311540 CATAS ALTAS DA NORUEGA,21
311545 CATUJI,82
311547 CATUTI,28
311550 CAXAMBU,189
311560 CEDRO DO ABAETE,6
311570 CENTRAL DE MINAS,61
311580 CENTRALINA,79
311590 CHACARA,17
311600 CHALE,42
311610 CHAPADA DO NORTE,69
311615 CHAPADA GAUCHA,43
311620 CHIADOR,27
311630 CIPOTANEA,67
311640 CLARAVAL,13
311650 CLARO DOS POCOES,53
311660 CLAUDIO,190
311670 COIMBRA,57
311680 COLUNA,60
311690 COMENDADOR GOMES,10
311700 COMERCINHO,43
311710 CONCEICAO DA APARECIDA,74
311720 CONCEICAO DAS PEDRAS,29
311730 CONCEICAO DAS ALAGOAS,143
311740 CONCEICAO DE IPANEMA,26
311750 CONCEICAO DO MATO DENTRO,101
311760 CONCEICAO DO PARA,37
311770 CONCEICAO DO RIO VERDE,111
311780 CONCEICAO DOS OUROS,54
311783 CONEGO MARINHO,41
311787 CONFINS,32
311790 CONGONHAL,74
311800 CONGONHAS,326
311810 CONGONHAS DO NORTE,31
311820 CONQUISTA,63
311830 CONSELHEIRO LAFAIETE,815
311840 CONSELHEIRO PENA,168
311850 CONSOLACAO,9
311860 CONTAGEM,3426
311870 COQUEIRAL,63
311880 CORACAO DE JESUS,169
311890 CORDISBURGO,64
311900 CORDISLANDIA,31
311910 CORINTO,199
311920 COROACI,59
311930 COROMANDEL,178
311940 CORONEL FABRICIANO,643
311950 CORONEL MURTA,67
311960 CORONEL PACHECO,21
311970 CORONEL XAVIER CHAVES,29
311980 CORREGO DANTA,18
311990 CORREGO DO BOM JESUS,29
311995 CORREGO FUNDO,31
312000 CORREGO NOVO,20
312010 COUTO DE MAGALHAES DE MINAS,39
312015 CRISOLITA,52
312020 CRISTAIS,72
312030 CRISTALIA,32
312040 CRISTIANO OTONI,31
312050 CRISTINA,75
312060 CRUCILANDIA,50
312070 CRUZEIRO DA FORTALEZA,20
312080 CRUZILIA,120
312083 CUPARAQUE,27
312087 CURRAL DE DENTRO,50
312090 CURVELO,537
312100 DATAS,49
312110 DELFIM MOREIRA,45
312120 DELFINOPOLIS,30
312125 DELTA,45
312130 DESCOBERTO,36
312140 DESTERRO DE ENTRE RIOS,63
312150 DESTERRO DO MELO,26
312160 DIAMANTINA,296
312170 DIOGO DE VASCONCELOS,22
312180 DIONISIO,60
312190 DIVINESIA,13
312200 DIVINO,156
312210 DIVINO DAS LARANJEIRAS,46
312220 DIVINOLANDIA DE MINAS,47
312230 DIVINOPOLIS,1302
312235 DIVISA ALEGRE,37
312240 DIVISA NOVA,49
312245 DIVISOPOLIS,30
312247 DOM BOSCO,22
312250 DOM CAVATI,45
312260 DOM JOAQUIM,31
312270 DOM SILVERIO,38
312280 DOM VICOSO,24
312290 DONA EUSEBIA,46
312300 DORES DE CAMPOS,65
312310 DORES DE GUANHAES,24
312320 DORES DO INDAIA,132
312330 DORES DO TURVO,39
312340 DORESOPOLIS,8
312350 DOURADOQUARA,10
312352 DURANDE,37
312360 ELOI MENDES,177
312370 ENGENHEIRO CALDAS,76
312380 ENGENHEIRO NAVARRO,43
312385 ENTRE FOLHAS,51
312390 ENTRE RIOS DE MINAS,127
312400 ERVALIA,96
312410 ESMERALDAS,342
312420 ESPERA FELIZ,161
312430 ESPINOSA,174
312440 ESPIRITO SANTO DO DOURADO,42
312450 ESTIVA,71
312460 ESTRELA DALVA,28
312470 ESTRELA DO INDAIA,22
312480 ESTRELA DO SUL,44
312490 EUGENOPOLIS,83
312500 EWBANK DA CAMARA,39
312510 EXTREMA,184
312520 FAMA,20
312530 FARIA LEMOS,27
312540 FELICIO DOS SANTOS,38
312550 SAO GONCALO DO RIO PRETO,17
312560 FELISBURGO,51
312570 FELIXLANDIA,105
312580 FERNANDES TOURINHO,17
312590 FERROS,77
312595 FERVEDOURO,66
312600 FLORESTAL,45
312610 FORMIGA,523
312620 FORMOSO,31
312630 FORTALEZA DE MINAS,20
312640 FORTUNA DE MINAS,22
312650 FRANCISCO BADARO,71
312660 FRANCISCO DUMONT,30
312670 FRANCISCO SA,160
312675 FRANCISCOPOLIS,39
312680 FREI GASPAR,43
312690 FREI INOCENCIO,72
312695 FREI LAGONEGRO,9
312700 FRONTEIRA,77
312705 FRONTEIRA DOS VALES,33
312707 FRUTA DE LEITE,49
312710 FRUTAL,415
312720 FUNILANDIA,28
312730 GALILEIA,49
312733 GAMELEIRAS,31
312735 GLAUCILANDIA,14
312737 GOIABEIRA,24
312738 GOIANA,32
312740 GONCALVES,31
312750 GONZAGA,33
312760 GOUVEIA,69
312770 GOVERNADOR VALADARES,1958
312780 GRAO MOGOL,68
312790 GRUPIARA,6
312800 GUANHAES,191
312810 GUAPE,92
312820 GUARACIABA,78
312825 GUARACIAMA,30
312830 GUARANESIA,151
312840 GUARANI,72
312850 GUARARA,23
312860 GUARDA-MOR,28
312870 GUAXUPE,382
312880 GUIDOVAL,63
312890 GUIMARANIA,36
312900 GUIRICEMA,63
312910 GURINHATA,36
312920 HELIODORA,52
312930 IAPU,62
312940 IBERTIOGA,48
312950 IBIA,147
312960 IBIAI,43
312965 IBIRACATU,43
312970 IBIRACI,64
312980 IBIRITE,766
312990 IBITIURA DE MINAS,26
313000 IBITURUNA,23
313005 ICARAI DE MINAS,67
313010 IGARAPE,206
313020 IGARATINGA,62
313030 IGUATAMA,69
313040 IJACI,37
313050 ILICINEA,83
313055 IMBE DE MINAS,44
313060 INCONFIDENTES,47
313065 INDAIABIRA,27
313070 INDIANOPOLIS,20
313080 INGAI,12
313090 INHAPIM,159
313100 INHAUMA,36
313110 INIMUTABA,56
313115 IPABA,110
313120 IPANEMA,156
313130 IPATINGA,1329
313140 IPIACU,45
313150 IPUIUNA,64
313160 IRAI DE MINAS,29
313170 ITABIRA,660
313180 ITABIRINHA,58
313190 ITABIRITO,281
313200 ITACAMBIRA,12
313210 ITACARAMBI,124
313220 ITAGUARA,82
313230 ITAIPE,104
313240 ITAJUBA,693
313250 ITAMARANDIBA,153
313260 ITAMARATI DE MINAS,24
313270 ITAMBACURI,180
313280 ITAMBE DO MATO DENTRO,9
313290 ITAMOGI,94
313300 ITAMONTE,91
313310 ITANHANDU,108
313320 ITANHOMI,78
313330 ITAOBIM,176
313340 ITAPAGIPE,75
313350 ITAPECERICA,177
313360 ITAPEVA,50
313370 ITATIAIUCU,76
313375 ITAU DE MINAS,116
313380 ITAUNA,613
313390 ITAVERAVA,40
313400 ITINGA,86
313410 ITUETA,45
313420 ITUIUTABA,863
313430 ITUMIRIM,33
313440 ITURAMA,238
313450 ITUTINGA,30
313460 JABOTICATUBAS,131
313470 JACINTO,79
313480 JACUI,67
313490 JACUTINGA,166
313500 JAGUARACU,15
313505 JAIBA,178
313507 JAMPRUCA,24
313510 JANAUBA,427
313520 JANUARIA,460
313530 JAPARAIBA,20
313535 JAPONVAR,46
313540 JECEABA,47
313545 JENIPAPO DE MINAS,38
313550 JEQUERI,85
313560 JEQUITAI,70
313570 JEQUITIBA,36
313580 JEQUITINHONHA,181
313590 JESUANIA,33
313600 JOAIMA,119
313610 JOANESIA,41
313620 JOAO MONLEVADE,490
313630 JOAO PINHEIRO,304
313640 JOAQUIM FELICIO,28
313650 JORDANIA,59
313652 JOSE GONCALVES DE MINAS,14
313655 JOSE RAYDAN,20
313657 JOSENOPOLIS,27
313660 NOVA UNIAO,45
313665 JUATUBA,168
313670 JUIZ DE FORA,4177
313680 JURAMENTO,33
313690 JURUAIA,67
313695 JUVENILIA,33
313700 LADAINHA,97
313710 LAGAMAR,59
313720 LAGOA DA PRATA,282
313730 LAGOA DOS PATOS,32
313740 LAGOA DOURADA,78
313750 LAGOA FORMOSA,126
313753 LAGOA GRANDE,43
313760 LAGOA SANTA,314
313770 LAJINHA,97
313780 LAMBARI,188
313790 LAMIM,33
313800 LARANJAL,54
313810 LASSANCE,43
313820 LAVRAS,649
313830 LEANDRO FERREIRA,31
313835 LEME DO PRADO,16
313840 LEOPOLDINA,428
313850 LIBERDADE,45
313860 LIMA DUARTE,168
313862 LIMEIRA DO OESTE,43
313865 LONTRA,71
313867 LUISBURGO,30
313868 LUISLANDIA,42
313870 LUMINARIAS,30
313880 LUZ,141
313890 MACHACALIS,49
313900 MACHADO,255
313910 MADRE DE DEUS DE MINAS,37
313920 MALACACHETA,142
313925 MAMONAS,32
313930 MANGA,142
313940 MANHUACU,441
313950 MANHUMIRIM,185
313960 MANTENA,183
313970 MARAVILHAS,48
313980 MAR DE ESPANHA,85
313990 MARIA DA FE,103
314000 MARIANA,329
314010 MARILAC,31
314015 MARIO CAMPOS,68
314020 MARIPA DE MINAS,34
314030 MARLIERIA,30
314040 MARMELOPOLIS,27
314050 MARTINHO CAMPOS,100
314053 MARTINS SOARES,49
314055 MATA VERDE,46
314060 MATERLANDIA,20
314070 MATEUS LEME,200
314080 MATIAS BARBOSA,103
314085 MATIAS CARDOSO,45
314090 MATIPO,122
314100 MATO VERDE,86
314110 MATOZINHOS,185
314120 MATUTINA,39
314130 MEDEIROS,20
314140 MEDINA,155
314150 MENDES PIMENTEL,44
314160 MERCES,85
314170 MESQUITA,37
314180 MINAS NOVAS,148
314190 MINDURI,42
314200 MIRABELA,95
314210 MIRADOURO,73
314220 MIRAI,109
314225 MIRAVANIA,26
314230 MOEDA,37
314240 MOEMA,45
314250 MONJOLOS,12
314260 MONSENHOR PAULO,51
314270 MONTALVANIA,109
314280 MONTE ALEGRE DE MINAS,139
314290 MONTE AZUL,173
314300 MONTE BELO,110
314310 MONTE CARMELO,338
314315 MONTE FORMOSO,17
314320 MONTE SANTO DE MINAS,206
314330 MONTES CLAROS,2150
314340 MONTE SIAO,109
314345 MONTEZUMA,23
314350 MORADA NOVA DE MINAS,56
314360 MORRO DA GARCA,19
314370 MORRO DO PILAR,21
314380 MUNHOZ,40
314390 MURIAE,857
314400 MUTUM,179
314410 MUZAMBINHO,175
314420 NACIP RAYDAN,19
314430 NANUQUE,330
314435 NAQUE,47
314437 NATALANDIA,18
314440 NATERCIA,37
314450 NAZARENO,48
314460 NEPOMUCENO,193
314465 NINHEIRA,67
314467 NOVA BELEM,13
314470 NOVA ERA,117
314480 NOVA LIMA,487
314490 NOVA MODICA,30
314500 NOVA PONTE,50
314505 NOVA PORTEIRINHA,49
314510 NOVA RESENDE,84
314520 NOVA SERRANA,288
314530 NOVO CRUZEIRO,210
