Municipio,obitos_p/Residência
171650 PEDRO AFONSO,72
171660 PEIXE,47
171665 PEQUIZEIRO,23
171670 COLMEIA,66
171700 PINDORAMA DO TOCANTINS,17
171720 PIRAQUE,3
171750 PIUM,31
171780 PONTE ALTA DO BOM JESUS,21
171790 PONTE ALTA DO TOCANTINS,39
171800 PORTO ALEGRE DO TOCANTINS,10
171820 PORTO NACIONAL,321
171830 PRAIA NORTE,43
171840 PRESIDENTE KENNEDY,26
171845 PUGMIL,15
171850 RECURSOLANDIA,19
171855 RIACHINHO,22
171865 RIO DA CONCEICAO,8
171870 RIO DOS BOIS,13
171875 RIO SONO,25
171880 SAMPAIO,19
171884 SANDOLANDIA,25
171886 SANTA FE DO ARAGUAIA,32
171888 SANTA MARIA DO TOCANTINS,12
171889 SANTA RITA DO TOCANTINS,7
171890 SANTA ROSA DO TOCANTINS,29
171900 SANTA TEREZA DO TOCANTINS,18
172000 SANTA TEREZINHA DO TOCANTINS,18
172010 SAO BENTO DO TOCANTINS,22
172015 SAO FELIX DO TOCANTINS,10
172020 SAO MIGUEL DO TOCANTINS,46
172025 SAO SALVADOR DO TOCANTINS,14
172030 SAO SEBASTIAO DO TOCANTINS,16
172049 SAO VALERIO,37
172065 SILVANOPOLIS,30
172080 SITIO NOVO DO TOCANTINS,56
172085 SUCUPIRA,8
172090 TAGUATINGA,84
172093 TAIPAS DO TOCANTINS,9
172097 TALISMA,13
172100 PALMAS,977
172110 TOCANTINIA,38
172120 TOCANTINOPOLIS,139
172125 TUPIRAMA,5
172130 TUPIRATINS,12
172208 WANDERLANDIA,66
172210 XAMBIOA,88
210005 ACAILANDIA,547
210010 AFONSO CUNHA,32
210015 AGUA DOCE DO MARANHAO,69
210020 ALCANTARA,80
210030 ALDEIAS ALTAS,101
210040 ALTAMIRA DO MARANHAO,25
210043 ALTO ALEGRE DO MARANHAO,115
210047 ALTO ALEGRE DO PINDARE,129
210050 ALTO PARNAIBA,38
210055 AMAPA DO MARANHAO,41
210060 AMARANTE DO MARANHAO,180
210070 ANAJATUBA,116
210080 ANAPURUS,49
210083 APICUM-ACU,47
210087 ARAGUANA,40
210090 ARAIOSES,178
210095 ARAME,111
210100 ARARI,149
210110 AXIXA,54
210120 BACABAL,623
210125 BACABEIRA,87
210130 BACURI,72
210135 BACURITUBA,26
210140 BALSAS,463
210150 BARAO DE GRAJAU,94
210160 BARRA DO CORDA,475
210170 BARREIRINHAS,244
210173 BELAGUA,20
210177 BELA VISTA DO MARANHAO,50
210180 BENEDITO LEITE,20
210190 BEQUIMAO,67
210193 BERNARDO DO MEARIM,17
210197 BOA VISTA DO GURUPI,20
210200 BOM JARDIM,169
210203 BOM JESUS DAS SELVAS,104
210207 BOM LUGAR,53
210210 BREJO,143
210215 BREJO DE AREIA,20
210220 BURITI,87
210230 BURITI BRAVO,115
210232 BURITICUPU,252
210235 BURITIRANA,66
210237 CACHOEIRA GRANDE,21
210240 CAJAPIO,52
210250 CAJARI,65
210255 CAMPESTRE DO MARANHAO,71
210260 CANDIDO MENDES,57
210270 CANTANHEDE,104
210275 CAPINZAL DO NORTE,64
210280 CAROLINA,149
210290 CARUTAPERA,98
210300 CAXIAS,924
210310 CEDRAL,36
210312 CENTRAL DO MARANHAO,32
210315 CENTRO DO GUILHERME,25
210317 CENTRO NOVO DO MARANHAO,44
210320 CHAPADINHA,411
210325 CIDELANDIA,56
210330 CODO,713
210340 COELHO NETO,255
210350 COLINAS,185
210355 CONCEICAO DO LAGO-ACU,40
210360 COROATA,373
210370 CURURUPU,222
210375 DAVINOPOLIS,83
210380 DOM PEDRO,105
210390 DUQUE BACELAR,54
210400 ESPERANTINOPOLIS,120
210405 ESTREITO,165
210407 FEIRA NOVA DO MARANHAO,35
210408 FERNANDO FALCAO,37
210409 FORMOSA DA SERRA NEGRA,65
210410 FORTALEZA DOS NOGUEIRAS,49
210420 FORTUNA,96
210430 GODOFREDO VIANA,17
210440 GONCALVES DIAS,92
210450 GOVERNADOR ARCHER,48
210455 GOVERNADOR EDISON LOBAO,81
210460 GOVERNADOR EUGENIO BARROS,64
210462 GOVERNADOR LUIZ ROCHA,35
210465 GOVERNADOR NEWTON BELLO,50
210467 GOVERNADOR NUNES FREIRE,113
210470 GRACA ARANHA,27
210480 GRAJAU,332
210490 GUIMARAES,73
210500 HUMBERTO DE CAMPOS,102
210510 ICATU,82
210515 IGARAPE DO MEIO,79
210520 IGARAPE GRANDE,58
210530 IMPERATRIZ,1587
210535 ITAIPAVA DO GRAJAU,36
210540 ITAPECURU MIRIM,336
210542 ITINGA DO MARANHAO,107
210545 JATOBA,31
210547 JENIPAPO DOS VIEIRAS,52
210550 JOAO LISBOA,130
210560 JOSELANDIA,72
210565 JUNCO DO MARANHAO,33
210570 LAGO DA PEDRA,266
210580 LAGO DO JUNCO,47
210590 LAGO VERDE,57
210592 LAGOA DO MATO,53
210594 LAGO DOS RODRIGUES,40
210596 LAGOA GRANDE DO MARANHAO,28
210598 LAJEADO NOVO,24
210600 LIMA CAMPOS,84
210610 LORETO,53
210620 LUIS DOMINGUES,31
210630 MAGALHAES DE ALMEIDA,72
210632 MARACACUME,84
210635 MARAJA DO SENA,19
210637 MARANHAOZINHO,48
210640 MATA ROMA,87
210650 MATINHA,107
210660 MATOES,110
210663 MATOES DO NORTE,34
210667 MILAGRES DO MARANHAO,20
210670 MIRADOR,79
210675 MIRANDA DO NORTE,108
210680 MIRINZAL,77
210690 MONCAO,145
210700 MONTES ALTOS,61
210710 MORROS,61
210720 NINA RODRIGUES,35
210725 NOVA COLINAS,25
210730 NOVA IORQUE,24
210735 NOVA OLINDA DO MARANHAO,88
210740 OLHO D'AGUA DAS CUNHAS,82
210745 OLINDA NOVA DO MARANHAO,43
210750 PACO DO LUMIAR,491
210760 PALMEIRANDIA,71
210770 PARAIBANO,101
210780 PARNARAMA,143
210790 PASSAGEM FRANCA,84
210800 PASTOS BONS,77
210805 PAULINO NEVES,55
210810 PAULO RAMOS,131
210820 PEDREIRAS,255
210825 PEDRO DO ROSARIO,66
210830 PENALVA,192
210840 PERI MIRIM,51
210845 PERITORO,106
210850 PINDARE-MIRIM,198
210860 PINHEIRO,395
210870 PIO XII,106
210880 PIRAPEMAS,97
210890 POCAO DE PEDRAS,101
210900 PORTO FRANCO,135
210905 PORTO RICO DO MARANHAO,20
210910 PRESIDENTE DUTRA,256
